author,files_changed,additions,deletions,reviews,comments
lovelydinosaur,1,1,1,0,0
xrmx,1,1,1,1,0
thejcannon,3,6,1,1,0
Zproger,1,1,1,1,1
lovelydinosaur,4,51,6,0,0
dependabot[bot],2,2,2,1,0
lovelydinosaur,8,62,27,0,0
lovelydinosaur,8,62,27,0,0
lovelydinosaur,5,39,61,0,0
lovelydinosaur,1,2,2,0,0
lovelydinosaur,1,2,2,0,0
lovelydinosaur,1,1,1,0,0
dependabot[bot],2,10,10,1,0
cclauss,4,9,9,1,0
cclauss,4,9,11,1,0
GlenTiki,1,4,0,1,1
Zaczero,1,6,0,2,1
chailandau,1,0,0,1,2
agronholm,8,13,9,1,1
ftnext,1,1,3,1,1
tobb10001,2,27,13,1,1
emmanuel-ferdman,1,1,1,4,1
will-ockmore,1,40,38,3,2
karpetrosyan,2,4,4,1,0
matusvalo,1,15,0,1,0
dependabot[bot],1,1,1,1,1
bcyran,2,18,11,1,0
hugovk,2,2,1,9,1
lovelydinosaur,1,3,1,2,0
lovelydinosaur,2,2,2,3,0
lovelydinosaur,2,7,4,0,0
GreyElaina,2,14,0,2,2
dependabot[bot],1,11,10,3,0
Danarvelini,1,0,2,1,2
lovelydinosaur,6,98,41,2,4
lovelydinosaur,1,8,0,1,0
lovelydinosaur,5,26,5,0,0
lovelydinosaur,1,8,13,0,0
lovelydinosaur,1,3,1,0,0
